PWeight,Age,PA_Inc,SS_Inc,Hours_Worked,Fam_Size,Children,PUMA,FoodSnap,Tenure,Grandparents,MLTG_HH,Citizenship?,COW,Speaks_English,Other_Lang_Home,Marital_Status,#_of_marriages,Military,Education,Sex,Disability,Parent_Employment,Employment,Health_Cov,Hispanic,IND,Private_HI,Public_HI,Race,Place_of_Birth,Income
70,18,0,0,18,1,b,00101,2,b,b,b,1,4,b,2,5,b,4,16,2,2,b,6,1,01,13,1,2,1,1,2026.1939999999997
47,18,0,0,2,1,b,00905,2,b,b,b,3,1,1,1,5,b,4,19,1,2,b,1,1,02,16,1,2,1,3,1418.3357999999998
123,21,0,0,29,1,b,01500,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,6,1,01,13,1,2,1,1,1620.9551999999999
7,38,0,0,7,1,b,00105,2,b,b,b,5,4,b,2,5,b,4,17,1,2,b,6,2,01,17,2,2,2,3,871.2634199999999
13,27,0,0,10,1,b,01101,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,1,1,01,16,1,2,1,1,3140.6007
17,75,0,0,40,1,b,00103,2,b,b,b,1,2,b,2,1,1,4,22,2,2,b,1,1,01,12,2,1,1,1,6889.0596
100,20,0,0,0,1,b,00305,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,1,1,0
36,84,0,12765.0222,0,1,b,00500,2,b,b,b,1,b,b,2,2,1,4,16,2,1,b,6,1,01,2,2,1,1,1,12765.0222
91,19,0,0,40,1,b,00904,2,b,b,b,1,1,1,1,5,b,4,16,2,2,b,6,1,02,16,1,2,1,1,11549.305799999998
93,21,0,0,25,1,b,00903,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,6,1,01,16,1,2,1,1,12157.163999999999
7,17,0,0,0,1,b,00300,2,b,b,b,1,b,b,2,5,b,4,12,2,1,b,6,1,22,2,2,1,9,1,0
84,19,0,0,20,1,b,01300,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,6,1,01,10,1,2,1,1,1823.5746
15,19,0,0,40,1,b,01101,2,b,b,b,1,5,b,2,5,b,1,16,1,2,b,4,1,05,19,1,2,1,1,607.8581999999999
17,47,0,0,12,1,b,00900,2,b,b,b,1,6,b,2,5,b,4,18,1,2,b,6,1,01,6,2,1,1,1,10130.97
90,18,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,1,01,2,1,2,1,1,0
13,56,0,7294.2984,0,1,b,01100,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,01,2,2,1,1,1,7294.2984
14,40,0,0,0,1,b,00101,2,b,b,b,1,b,b,2,3,1,4,14,1,2,b,6,1,01,2,2,1,1,1,0
16,91,0,15500.3841,0,1,b,00103,2,b,b,b,1,b,b,2,2,1,4,19,2,1,b,6,1,01,2,2,1,1,1,24213.0183
81,20,0,0,30,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,16,2,2,b,1,1,04,16,1,2,1,1,2026.1939999999997
27,75,0,1722.2649,0,1,b,01101,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,1,1,1722.2649
13,21,0,0,40,1,b,01101,2,b,b,b,1,2,b,2,5,b,4,20,2,2,b,1,1,01,16,1,2,1,1,29987.671199999997
114,20,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,1,1,0
46,20,0,0,0,1,b,00305,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,1,1,0
103,64,0,9320.4924,0,1,b,00301,2,b,b,b,1,b,b,2,3,1,4,16,1,1,b,6,1,01,2,2,1,1,1,9320.4924
4,32,0,0,0,1,b,01100,2,b,b,b,1,1,b,2,5,b,4,16,1,2,b,6,1,01,16,2,1,1,1,0
77,96,0,22895.992199999997,0,1,b,00300,2,b,b,b,4,b,2,1,2,1,4,20,2,1,b,6,1,01,2,1,1,1,5,22895.992199999997
10,71,0,15601.6938,0,1,b,00100,2,b,b,b,1,b,b,2,5,b,4,16,1,1,b,6,1,01,2,2,1,2,1,15601.6938
17,77,0,19046.223599999998,0,1,b,00102,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,1,1,19046.223599999998
105,75,0,13271.570699999998,0,1,b,00901,2,b,b,b,4,b,b,2,2,1,4,16,2,1,b,6,1,01,2,2,1,1,5,19654.0818
24,80,0,18337.055699999997,0,1,b,00102,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,1,1,18337.055699999997
13,20,0,0,20,1,b,01300,2,b,b,b,1,1,b,2,5,b,4,18,1,2,b,1,1,01,8,1,2,1,1,3039.2909999999997
19,69,0,24314.327999999998,40,1,b,00903,2,b,b,b,1,2,b,2,3,1,4,22,1,2,b,1,1,01,17,1,1,1,1,49945.6821
110,43,20.26194,0,10,1,b,00300,2,b,b,b,1,4,b,2,5,b,4,17,1,1,b,6,1,01,2,2,1,1,1,3971.3402399999995
31,96,0,17222.648999999998,0,1,b,00101,2,b,b,b,1,b,b,2,2,1,4,13,1,1,b,6,1,01,2,2,1,1,1,17222.648999999998
